date,Price,BalancingMarketPrice,ForecastedDemandSupply,Day,Month,Year,Hour,Weekday,Holiday,Mod168
2024-01-01 00:00:00,44.16,84.51097155340851,0.47515804466571854,1.0,1.0,2024.0,0.0,0.0,1.0,0.0
2024-01-01 01:00:00,44.16,88.32135879013522,0.434430536932206,1.0,1.0,2024.0,1.0,0.0,1.0,1.0
2024-01-01 02:00:00,42.41,86.46980993800759,0.42210678393296913,1.0,1.0,2024.0,2.0,0.0,1.0,2.0
2024-01-01 03:00:00,44.16,47.556635640548315,0.40767217288005464,1.0,1.0,2024.0,3.0,0.0,1.0,3.0
2024-01-01 04:00:00,40.76,47.552654,0.3998478623395246,1.0,1.0,2024.0,4.0,0.0,1.0,4.0
2024-01-01 05:00:00,40.76,61.13966033333333,0.39811262973493505,1.0,1.0,2024.0,5.0,0.0,1.0,5.0
2024-01-01 06:00:00,42.41,62.262746888365605,0.40243262487017073,1.0,1.0,2024.0,6.0,0.0,1.0,6.0
2024-01-01 07:00:00,44.16,62.605773890568386,0.4085683590255154,1.0,1.0,2024.0,7.0,0.0,1.0,7.0
2024-01-01 08:00:00,44.16,62.67371287471442,0.4080502973127733,1.0,1.0,2024.0,8.0,0.0,1.0,8.0
2024-01-01 09:00:00,47.56,35.6025657509393,0.4076514078220289,1.0,1.0,2024.0,9.0,0.0,1.0,9.0
2024-01-01 10:00:00,44.16,23.778644451111163,0.4163990230246413,1.0,1.0,2024.0,10.0,0.0,1.0,10.0
2024-01-01 11:00:00,40.76,22.078333333333333,0.41881520163934544,1.0,1.0,2024.0,11.0,0.0,1.0,11.0
2024-01-01 12:00:00,33.97,16.985,0.4040779152948508,1.0,1.0,2024.0,12.0,0.0,1.0,12.0
2024-01-01 13:00:00,40.76,16.983474862290517,0.404799088052925,1.0,1.0,2024.0,13.0,0.0,1.0,13.0
2024-01-01 14:00:00,44.16,21.400944629917383,0.41314710088253453,1.0,1.0,2024.0,14.0,0.0,1.0,14.0
2024-01-01 15:00:00,44.16,58.500331389713686,0.4215122894777185,1.0,1.0,2024.0,15.0,0.0,1.0,15.0
2024-01-01 16:00:00,65.06,91.38260710649297,0.44510901111391504,1.0,1.0,2024.0,16.0,0.0,1.0,16.0
2024-01-01 17:00:00,85.77,84.4058323960396,0.4834452730802689,1.0,1.0,2024.0,17.0,0.0,1.0,17.0
2024-01-01 18:00:00,88.37,91.48094032535826,0.5244771471184815,1.0,1.0,2024.0,18.0,0.0,1.0,18.0
2024-01-01 19:00:00,74.73,91.47657719737637,0.5206200878270434,1.0,1.0,2024.0,19.0,0.0,1.0,19.0
